Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000727,Room Air Conditioners,12,2011-11-07,31,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000728,Ventilating Fans - General,11,2012-11-28,13,CRITICAL,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000729,Ventilating Fans - General,20,2004-02-16,28,CRITICAL,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000730,Cable and Track/Rail Based Safety Systems,7,2016-08-12,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000731,Ventilating Fans - General,5,2018-10-05,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000732,Ventilating Fans - General,5,2019-01-13,37,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000733,Ventilating Fans - General,12,2012-03-02,36,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000734,Cable and Track/Rail Based Safety Systems,7,2016-08-01,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,INV-004,Harrow Campus,Innovation Centre,Michael Turner,View
1000735,Ventilating Fans - General,17,2006-08-23,48,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000736,Ventilating Fans - General,5,2018-11-17,43,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000737,Cable and Track/Rail Based Safety Systems,4,2020-01-26,77,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,INV-004,Harrow Campus,Innovation Centre,Michael Turner,View
1000738,Room Air Conditioners,7,2016-09-16,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000739,Ventilating Fans - General,6,2017-05-08,41,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000740,Room Air Conditioners,8,2015-08-04,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000741,Ventilating Fans - General,1,2023-04-06,65,MEDIUM,U (Unverified): Further investigation required.,Category U (Unverified Asset): Further investigation required to identify asset.,5,2. Minor,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000742,Sewage or Drainage Pumps Submersible,7,2016-12-06,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000743,Sewage or Drainage Pumps Submersible,8,2015-12-09,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000744,Sewage or Drainage Pumps Submersible,11,2012-11-18,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000745,Sewage or Drainage Pumps Submersible,13,2010-06-30,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000746,Sewage or Drainage Pumps Submersible,5,2019-02-21,47,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,INV-001,Harrow Campus,Innovation Centre,Michael Turner,View
1000747,Sump Pumps and Extended Shaft Sump Pumps,2,2022-01-29,40,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,5. Severe,CAV-US-004,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000748,Sump Pumps and Extended Shaft Sump Pumps,6,2017-09-17,32,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,5. Severe,CAV-US-004,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000749,Sump Pumps and Extended Shaft Sump Pumps,0,2023-12-17,49,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,5. Severe,CAV-US-004,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000750,Pumps - General,5,2019-01-26,55,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,INV-014,Harrow Campus,Innovation Centre,Michael Turner,View
1000751,Solenoid Gas/Oil Shut-off (Safety) Valves,13,2010-06-28,46,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,5. Severe,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000752,Meter Reading - Gas,5,2018-09-30,58,MEDIUM,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,1,2. Minor,CAV-US-005,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000753,Meter Reading - Gas,0,2023-07-11,50,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,3,2. Minor,CAV-US-006,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000754,Ventilating Fans - General,6,2018-04-08,66,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000755,Ventilating Fans - General,8,2015-08-02,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000756,Ventilating Fans - General,3,2020-07-20,56,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000757,Ventilating Fans - General,16,2008-02-20,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000758,Ventilating Fans - General,16,2007-11-10,50,HIGH,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000759,Ventilating Fans - General,6,2018-04-23,54,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000760,Ventilating Fans - General,12,2011-10-26,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000761,Ventilating Fans - General,12,2011-06-14,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000762,Ventilating Fans - General,2,2021-11-10,58,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000763,Roof and Canopy Fall Protection Systems,7,2017-01-18,68,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000764,Sewage or Drainage Pumps Submersible,1,2022-08-19,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-003,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000765,Sewage or Drainage Pumps Submersible,14,2010-02-25,41,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,CAV-RES-003,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000766,Condensers - Air Cooled,7,2016-06-14,34,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000767,Condensers - Air Cooled,3,2021-03-16,39,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000768,Condensers - Air Cooled,19,2004-12-03,29,CRITICAL,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,4. Significant,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000769,Condensers - Air Cooled,7,2016-11-07,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,4. Significant,CAV-SC-021,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000770,Condensers - Air Cooled,12,2011-07-15,43,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,4. Significant,CAV-SC-021,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000771,Electric/Air Heater,6,2018-03-12,56,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,CAV-SC-022,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000772,Roof and Canopy Fall Protection Systems,9,2015-03-04,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,5. Severe,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000773,Ventilating Fans - General,3,2020-07-13,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000774,Ventilating Fans - General,0,2023-10-17,48,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,5,2. Minor,CAV-RES-Roof,Cavendish Campus,Cavendish Restaurant,Daniel Martinez,View
1000775,Electric/Air Heater,4,2020-02-09,48,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,CAV-SC-022,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000776,Electric/Air Heater,1,2022-12-12,53,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,CAV-SC-022,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000777,Electric/Air Heater,5,2018-12-06,39,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,3,2. Minor,CAV-SC-022,Cavendish Campus,Cavendish Student Centre - U,Daniel Martinez,View
1000778,Ventilating Fans - General,6,2017-10-04,37,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,CAV-US-007,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000779,Ventilating Fans - General,14,2009-08-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,CAV-US-008,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000780,Ventilating Fans - General,2,2021-12-16,42,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,CAV-US-009,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000781,Ventilating Fans - General,14,2009-12-03,30,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,CAV-US-007,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000782,Ventilating Fans - General,16,2007-06-07,45,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,3,2. Minor,CAV-US-010,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000783,Sewage or Drainage Pumps Submersible,6,2018-02-22,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000784,Water Booster Pumps,4,2020-04-02,71,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000785,Water Booster Pumps,5,2019-01-16,81,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000786,Meter Reading - Water,18,2005-12-17,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000787,Meter Reading - Water,10,2013-12-09,78,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000788,Meter Reading - Water,18,2006-04-04,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000789,Meter Reading - Water,18,2005-09-19,51,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,2. Minor,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000790,Pressurisation Units - Chilled Water, Condenser Water and LTHW Types,9,2014-05-03,57,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000791,Sewage or Drainage Pumps Submersible,5,2018-06-25,80,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000792,Sewage or Drainage Pumps Submersible,10,2014-03-19,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000793,Sewage or Drainage Pumps Submersible,5,2018-10-08,63,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,1,4. Significant,CAV-US-002,Cavendish Campus,Cavendish University Sports,Daniel Martinez,View
1000794,Room Air Conditioners,2,2021-09-29,51,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000795,Room Air Conditioners,4,2020-04-28,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000796,Room Air Conditioners,2,2021-12-07,39,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000797,Room Air Conditioners,13,2010-09-06,48,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000798,Room Air Conditioners,11,2013-02-07,75,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000799,Room Air Conditioners,0,2024-01-19,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,3. Moderate,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000800,Ventilating Fans - General,6,2017-06-05,65,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000801,Ventilating Fans - General,17,2006-10-26,43,HIGH,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000802,Ventilating Fans - General,15,2008-06-16,32,HIGH,X (Beyond Repair): Asset is inoperable and requires replacement.,Category 0 (Asset Replacement): Essential replacement required to return to normal service.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000803,Ventilating Fans - General,10,2013-06-12,49,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000804,Cold Rooms,1,2022-09-05,52,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000805,Cold Rooms,11,2012-09-20,33,HIGH,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000806,Cold Rooms,14,2010-04-21,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000807,Cold Rooms,1,2022-09-10,64,MEDIUM,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000808,Expansion Vessels,6,2018-01-06,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000809,Air Dirt Separators,10,2013-06-04,61,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000810,Pressurisation Units - Chilled Water, Condenser Water and LTHW Types,11,2012-12-01,69,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000811,Packaged Chiller Units,9,2014-05-31,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,4. Significant,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000812,Roof and Canopy Fall Protection Systems,9,2014-05-09,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,5. Severe,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000813,Ventilating Fans - General,2,2021-05-05,69,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000814,Ventilating Fans - General,20,2004-01-28,52,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000815,Ventilating Fans - General,4,2020-03-17,68,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000816,Ventilating Fans - General,5,2018-12-03,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000817,Ventilating Fans - General,16,2008-03-30,44,HIGH,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000818,Ventilating Fans - General,7,2016-08-24,52,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000819,Ventilating Fans - General,12,2011-09-07,59,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000820,Ventilating Fans - General,2,2021-11-28,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000821,Ventilating Fans - General,4,2019-10-26,68,MEDIUM,C (Poor): Asset is operational but major repair or replacement will be needed.,Category 2 (Necessary): Essential work required to prevent the deterioration of an asset.,2,2. Minor,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
1000822,Roof and Canopy Fall Protection Systems,3,2020-10-22,67,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,2,5. Severe,COP-016,Cavendish Campus,Copland,Daniel Martinez,View
